id,createdTime,Calculation,Cohort 2 (from Schools),Created,Date,DateAsString,SchoolRecID (from Schools),Schools,Workshops
recVsj8DnN1FDMOZg,2025-02-28T21:39:56.000Z,0,recBegBohgNLuxvd6,2025-02-28T21:39:56.000Z,2025-12-31,"""2025-12-31""",rec7yXg3tc5sagKcw,rec7yXg3tc5sagKcw,
recVu9KObQU6d1Y8y,2026-03-06T22:50:42.000Z,0,"recHHg9XhLHC21zvY,reccBfPpfUFwgTi5y",2026-03-06T22:50:42.000Z,2026-11-19,"""2026-11-19""",recx1B8XKHLMi0fIe,recx1B8XKHLMi0fIe,
recVuU8hmtQbN1Afo,2025-03-18T18:53:37.000Z,0,reccBfPpfUFwgTi5y,2025-03-18T18:53:37.000Z,2025-12-11,"""2025-12-11""",recW5oZBwg13r5PcW,recW5oZBwg13r5PcW,
recVuzy3av2IbPr5z,2025-03-03T15:00:15.000Z,0,recZqfQ4RkbnW2JIg,2025-03-03T15:00:15.000Z,2026-03-04,"""2026-03-04""",recR6bgASzZEEAvHn,recR6bgASzZEEAvHn,
recVwI3kPla6XCAUY,2025-03-06T20:25:49.000Z,0,rec64hxpgTEzgyOio,2025-03-06T20:25:49.000Z,2026-04-01,"""2026-04-01""",recVCrjNijhtTrVAm,recVCrjNijhtTrVAm,
recVx2ATWeFbocW74,2026-03-10T19:22:09.000Z,0,recEnnhjHMIV8c8HC,2026-03-10T19:22:09.000Z,2026-09-24,"""2026-09-24""",recLLC22IgIIzuRZw,recLLC22IgIIzuRZw,
recVxX0DW5rqHjxAt,2026-03-06T22:50:49.000Z,0,"recHHg9XhLHC21zvY,reccBfPpfUFwgTi5y",2026-03-06T22:50:49.000Z,2027-03-25,"""2027-03-25""",recx1B8XKHLMi0fIe,recx1B8XKHLMi0fIe,
recVy8AU9JS9iGvz2,2025-03-20T17:29:10.000Z,0,recnDSfA01aEsurlW,2025-03-20T17:29:10.000Z,2026-04-08,"""2026-04-08""",recvOsQGp6TgjCb5V,recvOsQGp6TgjCb5V,
recVyaFppYdlt2YpG,2026-02-11T20:00:59.000Z,0,rectzlwUZbg7DifiH,2026-02-11T20:00:59.000Z,2026-12-15,"""2026-12-15""",recmWKSeoaGR9tHun,recmWKSeoaGR9tHun,
recW2iyBUtS7yjQke,2026-02-17T17:15:22.000Z,0,recBzTKhTFt0rpyZj,2026-02-17T17:15:22.000Z,2026-10-13,"""2026-10-13""",recc6DGM4v1CDuNHg,recc6DGM4v1CDuNHg,
recW2xVAois4x3Syh,2025-03-05T20:43:04.000Z,0,"recHHg9XhLHC21zvY,reccBfPpfUFwgTi5y",2025-03-05T20:43:04.000Z,2026-04-01,"""2026-04-01""",recLq6zX7ltrnF9z7,recLq6zX7ltrnF9z7,
